Movie_Name,Release_Date,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
Movie 17,1999-06-29,"A dramatic journey of love, loss, and redemption.",502.54,1551,5.7,es,"Animation, Thriller",https://image.tmdb.org/t/p/w500/sample_poster_17.jpg
Movie 18,2004-07-15,A group of friends embark on an unforgettable adventure.,464.94,5281,4.2,de,Romance,https://image.tmdb.org/t/p/w500/sample_poster_18.jpg
Movie 19,1989-07-03,An action-packed mission to save the world.,336.71,11767,4.1,es,"Comedy, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_19.jpg
Movie 20,1988-06-18,A thrilling story about courage and destiny.,592.01,4515,5.7,ko,"Sci-Fi, Drama",https://image.tmdb.org/t/p/w500/sample_poster_20.jpg
Movie 21,2000-12-08,A hero rises to face an unexpected challenge.,222.42,7362,4.0,hi,"Fantasy, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_21.jpg
Movie 22,1999-01-29,A thrilling story about courage and destiny.,521.14,7849,6.2,en,Thriller,https://image.tmdb.org/t/p/w500/sample_poster_22.jpg
Movie 23,1991-03-05,A group of friends embark on an unforgettable adventure.,93.01,13246,8.3,de,Thriller,https://image.tmdb.org/t/p/w500/sample_poster_23.jpg
Movie 24,1981-01-23,A hero rises to face an unexpected challenge.,556.09,9743,9.9,ko,Comedy,https://image.tmdb.org/t/p/w500/sample_poster_24.jpg
Movie 25,2015-08-05,A group of friends embark on an unforgettable adventure.,19.26,15393,1.0,ja,"Adventure, Sci-Fi",https://image.tmdb.org/t/p/w500/sample_poster_25.jpg
Movie 26,1980-07-27,"A dramatic journey of love, loss, and redemption.",664.72,208,1.3,fr,Sci-Fi,https://image.tmdb.org/t/p/w500/sample_poster_26.jpg
Movie 27,2014-04-03,An action-packed mission to save the world.,41.73,4522,2.2,it,Horror,https://image.tmdb.org/t/p/w500/sample_poster_27.jpg
Movie 28,1982-01-17,A mysterious event changes everything for a small town.,256.28,11326,8.2,hi,"Thriller, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_28.jpg
Movie 29,2023-10-12,An action-packed mission to save the world.,117.64,15920,7.2,ja,"Romance, Thriller",https://image.tmdb.org/t/p/w500/sample_poster_29.jpg
Movie 30,1980-03-21,A group of friends embark on an unforgettable adventure.,681.04,5805,4.9,de,"Horror, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_30.jpg
Movie 31,2013-12-11,A thrilling story about courage and destiny.,401.03,14161,1.4,ko,Adventure,https://image.tmdb.org/t/p/w500/sample_poster_31.jpg
Movie 32,2010-10-02,A thrilling story about courage and destiny.,271.78,11837,5.8,ja,Thriller,https://image.tmdb.org/t/p/w500/sample_poster_32.jpg
Movie 33,2003-11-04,A hero rises to face an unexpected challenge.,505.65,7219,8.3,es,Fantasy,https://image.tmdb.org/t/p/w500/sample_poster_33.jpg
Movie 34,1996-11-11,"A dramatic journey of love, loss, and redemption.",642.94,9421,8.2,ja,Action,https://image.tmdb.org/t/p/w500/sample_poster_34.jpg
Movie 35,1983-09-02,A mysterious event changes everything for a small town.,548.37,16278,4.7,ja,"Sci-Fi, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_35.jpg
Movie 36,2004-06-02,A mysterious event changes everything for a small town.,774.16,6513,7.0,es,"Drama, Romance",https://image.tmdb.org/t/p/w500/sample_poster_36.jpg
Movie 37,1980-11-24,A group of friends embark on an unforgettable adventure.,133.72,3801,4.8,fr,Animation,https://image.tmdb.org/t/p/w500/sample_poster_37.jpg
Movie 38,1980-12-20,A mysterious event changes everything for a small town.,104.54,9631,7.2,en,"Animation, Thriller",https://image.tmdb.org/t/p/w500/sample_poster_38.jpg
Movie 39,2009-07-18,A mysterious event changes everything for a small town.,399.17,6585,9.2,es,"Comedy, Sci-Fi",https://image.tmdb.org/t/p/w500/sample_poster_39.jpg
Movie 40,2013-07-17,"A dramatic journey of love, loss, and redemption.",373.25,13663,1.8,es,"Romance, Action",https://image.tmdb.org/t/p/w500/sample_poster_40.jpg
Movie 41,2018-04-15,"A dramatic journey of love, loss, and redemption.",584.77,9295,5.5,ko,"Romance, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_41.jpg
Movie 42,2021-06-06,A mysterious event changes everything for a small town.,561.08,12446,2.0,fr,"Drama, Adventure",https://image.tmdb.org/t/p/w500/sample_poster_42.jpg
Movie 43,1982-08-05,"A dramatic journey of love, loss, and redemption.",694.05,2632,5.2,en,"Fantasy, Drama",https://image.tmdb.org/t/p/w500/sample_poster_43.jpg
Movie 44,1992-02-29,"A dramatic journey of love, loss, and redemption.",599.32,15728,1.7,it,"Action, Horror",https://image.tmdb.org/t/p/w500/sample_poster_44.jpg
Movie 45,2009-10-30,A hero rises to face an unexpected challenge.,154.49,6683,4.6,ja,Animation,https://image.tmdb.org/t/p/w500/sample_poster_45.jpg
Movie 46,2002-03-24,A group of friends embark on an unforgettable adventure.,439.88,12534,4.7,ko,Thriller,https://image.tmdb.org/t/p/w500/sample_poster_46.jpg
Movie 47,2014-12-21,A mysterious event changes everything for a small town.,813.7,9265,8.1,ko,Action,https://image.tmdb.org/t/p/w500/sample_poster_47.jpg
Movie 48,2021-12-31,"A dramatic journey of love, loss, and redemption.",349.55,14011,1.4,de,"Sci-Fi, Horror",https://image.tmdb.org/t/p/w500/sample_poster_48.jpg
Movie 49,2009-05-20,A mysterious event changes everything for a small town.,119.14,18396,4.9,hi,"Drama, Action",https://image.tmdb.org/t/p/w500/sample_poster_49.jpg
Movie 50,2015-01-28,A mysterious event changes everything for a small town.,909.0,23,9.5,de,Sci-Fi,https://image.tmdb.org/t/p/w500/sample_poster_50.jpg
Movie 51,2008-03-05,"A dramatic journey of love, loss, and redemption.",389.15,1710,8.8,en,"Animation, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_51.jpg
Movie 52,2008-08-08,A hero rises to face an unexpected challenge.,157.81,11703,5.5,ko,"Horror, Sci-Fi",https://image.tmdb.org/t/p/w500/sample_poster_52.jpg
Movie 53,1995-04-08,An action-packed mission to save the world.,655.33,16136,6.3,fr,Romance,https://image.tmdb.org/t/p/w500/sample_poster_53.jpg
Movie 54,2015-06-13,A group of friends embark on an unforgettable adventure.,299.62,6657,3.9,fr,Thriller,https://image.tmdb.org/t/p/w500/sample_poster_54.jpg
Movie 55,2007-03-24,A thrilling story about courage and destiny.,959.58,8858,1.6,it,Drama,https://image.tmdb.org/t/p/w500/sample_poster_55.jpg
Movie 56,1989-03-11,A hero rises to face an unexpected challenge.,370.71,8041,7.4,hi,Sci-Fi,https://image.tmdb.org/t/p/w500/sample_poster_56.jpg
Movie 57,2009-02-28,A mysterious event changes everything for a small town.,163.99,636,4.4,en,Thriller,https://image.tmdb.org/t/p/w500/sample_poster_57.jpg
Movie 58,1996-04-20,A mysterious event changes everything for a small town.,717.04,6259,3.1,es,Adventure,https://image.tmdb.org/t/p/w500/sample_poster_58.jpg
Movie 59,2001-04-21,A group of friends embark on an unforgettable adventure.,165.54,2318,3.1,es,"Action, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_59.jpg
Movie 60,1980-07-19,A mysterious event changes everything for a small town.,335.96,10464,7.8,fr,"Action, Drama",https://image.tmdb.org/t/p/w500/sample_poster_60.jpg
Movie 61,2006-06-14,An action-packed mission to save the world.,15.62,10247,7.4,es,"Thriller, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_61.jpg
Movie 62,1993-06-09,An action-packed mission to save the world.,433.8,1598,7.7,ko,"Drama, Adventure",https://image.tmdb.org/t/p/w500/sample_poster_62.jpg
Movie 63,2012-09-09,A thrilling story about courage and destiny.,550.83,10461,9.2,it,Sci-Fi,https://image.tmdb.org/t/p/w500/sample_poster_63.jpg
Movie 64,2006-03-26,A mysterious event changes everything for a small town.,61.42,16317,4.3,es,Animation,https://image.tmdb.org/t/p/w500/sample_poster_64.jpg
Movie 65,2013-04-08,A hero rises to face an unexpected challenge.,831.05,6991,3.0,es,"Action, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_65.jpg
Movie 66,2004-11-07,A hero rises to face an unexpected challenge.,171.61,4166,8.5,hi,Action,https://image.tmdb.org/t/p/w500/sample_poster_66.jpg
Movie 67,1986-11-14,A mysterious event changes everything for a small town.,21.19,7126,1.9,it,"Drama, Adventure",https://image.tmdb.org/t/p/w500/sample_poster_67.jpg
Movie 68,2008-06-18,"A dramatic journey of love, loss, and redemption.",562.94,19320,3.6,fr,Thriller,https://image.tmdb.org/t/p/w500/sample_poster_68.jpg
Movie 69,2014-05-10,An action-packed mission to save the world.,812.68,11640,3.1,it,"Horror, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_69.jpg
Movie 70,1986-01-31,"A dramatic journey of love, loss, and redemption.",266.44,19041,2.8,en,"Horror, Sci-Fi",https://image.tmdb.org/t/p/w500/sample_poster_70.jpg
Movie 71,2011-06-21,An action-packed mission to save the world.,401.59,809,4.7,fr,Animation,https://image.tmdb.org/t/p/w500/sample_poster_71.jpg
Movie 72,1986-10-30,A mysterious event changes everything for a small town.,953.81,14899,7.6,en,"Fantasy, Thriller",https://image.tmdb.org/t/p/w500/sample_poster_72.jpg
Movie 73,2011-09-04,A thrilling story about courage and destiny.,558.5,17783,2.4,ko,"Sci-Fi, Animation",https://image.tmdb.org/t/p/w500/sample_poster_73.jpg
Movie 74,1988-04-01,A group of friends embark on an unforgettable adventure.,804.96,2985,8.7,ja,"Drama, Action",https://image.tmdb.org/t/p/w500/sample_poster_74.jpg
Movie 75,2016-08-23,A group of friends embark on an unforgettable adventure.,44.06,630,2.1,it,Adventure,https://image.tmdb.org/t/p/w500/sample_poster_75.jpg
Movie 76,1984-04-23,A thrilling story about courage and destiny.,77.09,10186,7.9,de,Action,https://image.tmdb.org/t/p/w500/sample_poster_76.jpg
Movie 77,2013-02-05,A thrilling story about courage and destiny.,34.57,2984,1.3,it,"Comedy, Drama",https://image.tmdb.org/t/p/w500/sample_poster_77.jpg
Movie 78,1982-03-05,A mysterious event changes everything for a small town.,806.2,15229,3.0,fr,"Comedy, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_78.jpg
Movie 79,2006-02-24,A thrilling story about courage and destiny.,935.41,13223,9.8,ko,"Comedy, Thriller",https://image.tmdb.org/t/p/w500/sample_poster_79.jpg
Movie 80,2006-01-11,A mysterious event changes everything for a small town.,272.1,17623,4.0,ko,"Animation, Romance",https://image.tmdb.org/t/p/w500/sample_poster_80.jpg
Movie 81,2006-09-28,A thrilling story about courage and destiny.,9.19,8545,5.4,it,Comedy,https://image.tmdb.org/t/p/w500/sample_poster_81.jpg
Movie 82,2014-12-19,A group of friends embark on an unforgettable adventure.,120.01,1489,4.7,es,"Fantasy, Action",https://image.tmdb.org/t/p/w500/sample_poster_82.jpg
Movie 83,2022-08-15,A mysterious event changes everything for a small town.,488.49,4602,8.9,es,"Drama, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_83.jpg
Movie 84,1999-03-24,A thrilling story about courage and destiny.,197.32,8929,9.0,ko,"Animation, Thriller",https://image.tmdb.org/t/p/w500/sample_poster_84.jpg
Movie 85,2018-09-17,"A dramatic journey of love, loss, and redemption.",204.07,5417,2.4,de,"Adventure, Action",https://image.tmdb.org/t/p/w500/sample_poster_85.jpg
Movie 86,2010-02-03,A hero rises to face an unexpected challenge.,235.58,14547,8.4,de,"Sci-Fi, Romance",https://image.tmdb.org/t/p/w500/sample_poster_86.jpg
Movie 87,2010-05-12,A mysterious event changes everything for a small town.,906.62,14182,3.4,ko,Action,https://image.tmdb.org/t/p/w500/sample_poster_87.jpg
Movie 88,1988-04-10,A group of friends embark on an unforgettable adventure.,259.27,14747,5.5,en,"Sci-Fi, Drama",https://image.tmdb.org/t/p/w500/sample_poster_88.jpg
Movie 89,2017-12-03,A thrilling story about courage and destiny.,178.79,3757,1.7,ko,Romance,https://image.tmdb.org/t/p/w500/sample_poster_89.jpg
Movie 90,1981-11-11,"A dramatic journey of love, loss, and redemption.",513.53,19841,7.6,ja,Animation,https://image.tmdb.org/t/p/w500/sample_poster_90.jpg
Movie 91,1982-12-19,A hero rises to face an unexpected challenge.,998.81,13338,1.9,es,"Action, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_91.jpg
Movie 92,1987-10-19,A group of friends embark on an unforgettable adventure.,452.88,2675,7.7,ko,Horror,https://image.tmdb.org/t/p/w500/sample_poster_92.jpg
Movie 93,1983-05-12,A mysterious event changes everything for a small town.,491.7,9660,3.7,en,"Drama, Thriller",https://image.tmdb.org/t/p/w500/sample_poster_93.jpg
Movie 94,1981-12-07,"A dramatic journey of love, loss, and redemption.",175.94,5332,9.5,en,Fantasy,https://image.tmdb.org/t/p/w500/sample_poster_94.jpg
Movie 95,2013-11-04,A group of friends embark on an unforgettable adventure.,931.86,8806,9.8,hi,"Romance, Thriller",https://image.tmdb.org/t/p/w500/sample_poster_95.jpg
Movie 96,2014-10-17,A hero rises to face an unexpected challenge.,388.86,16214,1.6,it,Sci-Fi,https://image.tmdb.org/t/p/w500/sample_poster_96.jpg
Movie 97,1993-10-11,A thrilling story about courage and destiny.,316.59,4765,2.5,de,Fantasy,https://image.tmdb.org/t/p/w500/sample_poster_97.jpg
Movie 98,2017-02-14,A mysterious event changes everything for a small town.,807.73,15914,9.1,de,Animation,https://image.tmdb.org/t/p/w500/sample_poster_98.jpg
Movie 99,1986-01-29,A thrilling story about courage and destiny.,230.09,649,1.3,it,"Horror, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_99.jpg
Movie 100,2012-09-17,A mysterious event changes everything for a small town.,780.51,7919,6.0,fr,"Horror, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_100.jpg
Movie 101,1991-01-31,A group of friends embark on an unforgettable adventure.,27.43,61,6.9,de,"Adventure, Thriller",https://image.tmdb.org/t/p/w500/sample_poster_101.jpg
Movie 102,1996-10-13,A thrilling story about courage and destiny.,34.52,7161,1.6,de,"Romance, Drama",https://image.tmdb.org/t/p/w500/sample_poster_102.jpg
Movie 103,2005-05-02,"A dramatic journey of love, loss, and redemption.",486.68,19325,1.4,en,Drama,https://image.tmdb.org/t/p/w500/sample_poster_103.jpg
Movie 104,2019-10-29,A thrilling story about courage and destiny.,73.77,1834,8.0,ko,"Animation, Adventure",https://image.tmdb.org/t/p/w500/sample_poster_104.jpg
Movie 105,2019-03-24,A group of friends embark on an unforgettable adventure.,683.94,15008,5.1,fr,Romance,https://image.tmdb.org/t/p/w500/sample_poster_105.jpg
Movie 106,2013-03-13,"A dramatic journey of love, loss, and redemption.",726.72,15607,2.0,es,Comedy,https://image.tmdb.org/t/p/w500/sample_poster_106.jpg
Movie 107,2016-10-18,An action-packed mission to save the world.,289.08,7460,8.0,es,Fantasy,https://image.tmdb.org/t/p/w500/sample_poster_107.jpg
Movie 108,1980-03-13,An action-packed mission to save the world.,955.05,3359,5.8,ja,"Action, Romance",https://image.tmdb.org/t/p/w500/sample_poster_108.jpg
Movie 109,1987-11-10,A thrilling story about courage and destiny.,353.34,17740,4.6,de,"Action, Drama",https://image.tmdb.org/t/p/w500/sample_poster_109.jpg
Movie 110,1987-10-24,A thrilling story about courage and destiny.,766.01,18494,5.7,hi,"Animation, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_110.jpg
Movie 111,1999-09-04,A hero rises to face an unexpected challenge.,277.53,6995,7.6,ja,Horror,https://image.tmdb.org/t/p/w500/sample_poster_111.jpg
Movie 112,1984-03-18,An action-packed mission to save the world.,505.05,13047,4.5,en,Sci-Fi,https://image.tmdb.org/t/p/w500/sample_poster_112.jpg
Movie 113,1990-02-05,A group of friends embark on an unforgettable adventure.,806.78,17339,2.3,ja,"Adventure, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_113.jpg
Movie 114,2011-08-26,A hero rises to face an unexpected challenge.,304.36,18853,5.2,de,"Horror, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_114.jpg
Movie 115,1992-02-12,An action-packed mission to save the world.,616.67,3226,6.2,it,Action,https://image.tmdb.org/t/p/w500/sample_poster_115.jpg
Movie 116,2005-07-28,A mysterious event changes everything for a small town.,787.69,19101,4.5,ja,"Horror, Action",https://image.tmdb.org/t/p/w500/sample_poster_116.jpg
Movie 117,1981-03-06,"A dramatic journey of love, loss, and redemption.",941.8,15659,6.6,es,Animation,https://image.tmdb.org/t/p/w500/sample_poster_117.jpg
Movie 118,2019-02-10,A mysterious event changes everything for a small town.,371.29,11838,2.1,en,"Comedy, Adventure",https://image.tmdb.org/t/p/w500/sample_poster_118.jpg
Movie 119,2020-02-12,A thrilling story about courage and destiny.,753.1,1836,2.7,it,"Horror, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_119.jpg
Movie 120,1981-08-28,An action-packed mission to save the world.,44.74,3753,1.7,es,"Horror, Adventure",https://image.tmdb.org/t/p/w500/sample_poster_120.jpg
Movie 121,1997-10-18,A group of friends embark on an unforgettable adventure.,569.97,4403,10.0,ko,Comedy,https://image.tmdb.org/t/p/w500/sample_poster_121.jpg
Movie 122,1999-12-02,A hero rises to face an unexpected challenge.,175.02,12743,8.4,fr,Animation,https://image.tmdb.org/t/p/w500/sample_poster_122.jpg
Movie 123,2002-10-05,A thrilling story about courage and destiny.,173.49,9905,4.9,fr,"Horror, Romance",https://image.tmdb.org/t/p/w500/sample_poster_123.jpg
Movie 124,1998-11-09,A group of friends embark on an unforgettable adventure.,286.19,9486,8.2,en,"Comedy, Action",https://image.tmdb.org/t/p/w500/sample_poster_124.jpg
Movie 125,2023-05-04,"A dramatic journey of love, loss, and redemption.",832.1,5050,8.8,fr,Action,https://image.tmdb.org/t/p/w500/sample_poster_125.jpg
Movie 126,1987-06-08,A thrilling story about courage and destiny.,235.95,8367,8.0,ja,Horror,https://image.tmdb.org/t/p/w500/sample_poster_126.jpg
Movie 127,1995-10-24,A group of friends embark on an unforgettable adventure.,375.79,7355,1.4,fr,"Horror, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_127.jpg
Movie 128,2006-07-16,A group of friends embark on an unforgettable adventure.,437.02,10919,4.5,it,Action,https://image.tmdb.org/t/p/w500/sample_poster_128.jpg
Movie 129,1985-03-24,A mysterious event changes everything for a small town.,950.48,6147,6.1,ko,Animation,https://image.tmdb.org/t/p/w500/sample_poster_129.jpg
Movie 130,2014-10-18,A mysterious event changes everything for a small town.,495.02,4864,4.2,es,"Sci-Fi, Horror",https://image.tmdb.org/t/p/w500/sample_poster_130.jpg
Movie 131,2018-08-02,A group of friends embark on an unforgettable adventure.,512.53,13497,1.9,ko,"Fantasy, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_131.jpg
Movie 132,2017-06-02,A mysterious event changes everything for a small town.,504.8,2152,4.2,it,"Romance, Fantasy",https://image.tmdb.org/t/p/w500/sample_poster_132.jpg
Movie 133,1990-10-01,A mysterious event changes everything for a small town.,918.87,13927,3.4,ja,"Animation, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_133.jpg
Movie 134,2016-11-21,A group of friends embark on an unforgettable adventure.,46.36,11497,9.5,de,"Horror, Drama",https://image.tmdb.org/t/p/w500/sample_poster_134.jpg
Movie 135,2015-12-23,"A dramatic journey of love, loss, and redemption.",362.47,17547,4.0,ja,"Fantasy, Sci-Fi",https://image.tmdb.org/t/p/w500/sample_poster_135.jpg
Movie 136,2016-02-23,A group of friends embark on an unforgettable adventure.,940.96,16330,2.5,fr,"Romance, Drama",https://image.tmdb.org/t/p/w500/sample_poster_136.jpg
Movie 137,2016-02-24,"A dramatic journey of love, loss, and redemption.",343.95,12530,2.6,ja,"Sci-Fi, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_137.jpg
Movie 138,2020-11-11,A thrilling story about courage and destiny.,963.71,17602,5.0,fr,"Animation, Action",https://image.tmdb.org/t/p/w500/sample_poster_138.jpg
Movie 139,2000-07-26,A mysterious event changes everything for a small town.,132.8,155,9.6,it,Sci-Fi,https://image.tmdb.org/t/p/w500/sample_poster_139.jpg
Movie 140,2012-01-06,An action-packed mission to save the world.,197.06,704,2.7,hi,"Thriller, Romance",https://image.tmdb.org/t/p/w500/sample_poster_140.jpg
Movie 141,2009-04-25,A group of friends embark on an unforgettable adventure.,978.69,19549,9.8,ja,"Thriller, Sci-Fi",https://image.tmdb.org/t/p/w500/sample_poster_141.jpg
Movie 142,2020-03-31,"A dramatic journey of love, loss, and redemption.",552.65,6791,2.5,es,Horror,https://image.tmdb.org/t/p/w500/sample_poster_142.jpg
Movie 143,1998-11-27,"A dramatic journey of love, loss, and redemption.",49.19,9279,4.0,it,"Thriller, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_143.jpg
Movie 144,2004-06-07,"A dramatic journey of love, loss, and redemption.",423.43,8954,5.3,de,"Sci-Fi, Comedy",https://image.tmdb.org/t/p/w500/sample_poster_144.jpg
Movie 145,2018-04-07,A hero rises to face an unexpected challenge.,546.95,19026,6.0,fr,Action,https://image.tmdb.org/t/p/w500/sample_poster_145.jpg
Movie 146,2009-10-12,A mysterious event changes everything for a small town.,245.84,1802,2.3,en,Animation,https://image.tmdb.org/t/p/w500/sample_poster_146.jpg
Movie 147,1987-01-14,An action-packed mission to save the world.,793.09,12318,7.3,fr,"Action, Adventure",https://image.tmdb.org/t/p/w500/sample_poster_147.jpg
Movie 148,1980-04-02,An action-packed mission to save the world.,969.38,7487,9.2,fr,Horror,https://image.tmdb.org/t/p/w500/sample_poster_148.jpg
Movie 149,2008-09-12,A mysterious event changes everything for a small town.,538.84,4948,7.1,fr,"Action, Romance",https://image.tmdb.org/t/p/w500/sample_poster_149.jpg
Movie 150,2018-07-28,A group of friends embark on an unforgettable adventure.,48.09,5371,2.5,ja,Action,https://image.tmdb.org/t/p/w500/sample_poster_150.jpg
Movie 151,2019-11-20,An action-packed mission to save the world.,169.61,5766,1.6,de,"Action, Thriller",https://image.tmdb.org/t/p/w500/sample_poster_151.jpg
Movie 152,2004-08-27,A hero rises to face an unexpected challenge.,302.57,1606,6.5,hi,Fantasy,https://image.tmdb.org/t/p/w500/sample_poster_152.jpg
Movie 153,1991-04-04,A thrilling story about courage and destiny.,347.05,10682,9.4,de,Horror,https://image.tmdb.org/t/p/w500/sample_poster_153.jpg
Movie 154,1996-04-06,A thrilling story about courage and destiny.,966.97,2762,3.3,it,"Animation, Drama",https://image.tmdb.org/t/p/w500/sample_poster_154.jpg
Movie 155,1985-10-20,"A dramatic journey of love, loss, and redemption.",219.94,18417,2.6,es,"Horror, Sci-Fi",https://image.tmdb.org/t/p/w500/sample_poster_155.jpg
Movie 156,1982-04-28,A mysterious event changes everything for a small town.,986.52,6671,3.8,hi,Animation,https://image.tmdb.org/t/p/w500/sample_poster_156.jpg
Movie 157,2016-04-19,An action-packed mission to save the world.,327.22,6183,8.1,hi,"Romance, Sci-Fi",https://image.tmdb.org/t/p/w500/sample_poster_157.jpg
Movie 158,1997-02-04,A hero rises to face an unexpected challenge.,533.08,11628,3.7,it,"Drama, Action",https://image.tmdb.org/t/p/w500/sample_poster_158.jpg
Movie 159,2017-07-16,A mysterious event changes everything for a small town.,562.63,5839,3.5,en,Fantasy,https://image.tmdb.org/t/p/w500/sample_poster_159.jpg
Movie 160,2019-01-04,A hero rises to face an unexpected challenge.,188.83,15681,7.4,ja,Animation,https://image.tmdb.org/t/p/w500/sample_poster_160.jpg
Movie 161,1993-03-02,A mysterious event changes everything for a small town.,173.21,13257,5.5,hi,"Horror, Sci-Fi",https://image.tmdb.org/t/p/w500/sample_poster_161.jpg
Movie 162,2008-01-05,A mysterious event changes everything for a small town.,285.04,17221,6.1,de,"Thriller, Horror",https://image.tmdb.org/t/p/w500/sample_poster_162.jpg
Movie 163,2007-04-16,A group of friends embark on an unforgettable adventure.,942.02,69,2.2,hi,Fantasy,https://image.tmdb.org/t/p/w500/sample_poster_163.jpg
Movie 164,1996-01-31,A thrilling story about courage and destiny.,87.73,4126,8.6,it,Animation,https://image.tmdb.org/t/p/w500/sample_poster_164.jpg
Movie 165,1983-08-05,A hero rises to face an unexpected challenge.,560.59,13409,3.1,en,Adventure,https://image.tmdb.org/t/p/w500/sample_poster_165.jpg
Movie 166,1988-03-12,"A dramatic journey of love, loss, and redemption.",11.35,7602,3.0,es,"Animation, Sci-Fi",https://image.tmdb.org/t/p/w500/sample_poster_166.jpg
Movie 167,2023-05-04,A mysterious event changes everything for a small town.,175.1,3198,7.4,ko,"Fantasy, Sci-Fi",https://image.tmdb.org/t/p/w500/sample_poster_167.jpg
Movie 168,2021-08-06,"A dramatic journey of love, loss, and redemption.",575.94,15017,2.3,fr,"Comedy, Drama",https://image.tmdb.org/t/p/w500/sample_poster_168.jpg
Movie 169,1998-01-29,An action-packed mission to save the world.,530.09,4151,7.6,es,"Adventure, Thriller",https://image.tmdb.org/t/p/w500/sample_poster_169.jpg
Movie 170,2017-05-08,A hero rises to face an unexpected challenge.,885.68,12913,10.0,ja,Horror,https://image.tmdb.org/t/p/w500/sample_poster_170.jpg
Movie 171,1985-05-08,A thrilling story about courage and destiny.,254.51,8201,6.9,fr,"Action, Thriller",https://image.tmdb.org/t/p/w500/sample_poster_171.jpg
